,,LOCATION INFORMATION,,,,,,,,,,,,,,,,,,,,,,,,
3 -  41/,WOODROFFE AVENUE/O.Q.W........,417,45.361147,-75.768292,1960,1999,,2,Total=64 (1)=32;(2)=32;,64,08/15/2013,70.4,70.4,,70.5,,70.8,,72.2,,72.4,,,,90.7,
3 -  42/,MAITLAND AVENUE/OQW------------,417,45.370408,-75.754594,1959,2008,2001,2,Total=70 (1)=35;(2)=35;,70.1,10/30/2013,73.6,73.6,,73.9,,75.8,,76.5,,80.3,,,,95.1,
3 -  43/1,CLYDE AVENUE OPS     (EBL),417,45.376072,-75.748319,1959,2008,2002,1,Total=22 (1)=22;,22,06/08/2013,85.7,85.7,,91.9,,97.9,,56.1,,61.1,,,,57.6,
3 -  43/2,CLYDE AVENUESWAY          (WBL),417,45.376189,-75.7484,1959,1983,2009,1,Total=22 (1)=22;,21.6,06/08/2013,86.6,86.6,,92.7,,98,,59,,64,,,,64.5,
3 -  44/1,CARLING AVENUE............(EBL),417,45.381394,-75.742503,2011,,,1,Total=20 (1)=20;,22.8,06/08/2013,92.9,92.9,,61.1,,61.1,,64.1,,63.8,,,,61.7,
3 -  44/2,CARLING AVENUE............(WBL),417,45.381411,-75.742681,2011,,,1,Total=20 (1)=20;,22.8,06/08/2013,94.6,94.6,,62.4,,62.4,,67.1,,67.3,,,,66.4,
3 -  45/1,KIRKWOOD AVENUE OVERPASS  (EBL),417,45.383853,-75.7398,1959,2013,2003,1,Total=25 (1)=25;,24.1,11/29/2013,56.8,56.8,,56.8,,57.5,,62.1,,65.5,,,,62.5,
3 -  45/2,KIRKWOOD AVENUE OVERPASS  (WBL),417,45.383989,-75.739883,1959,2013,2003,1,Total=24 (1)=24;,24.1,11/29/2013,58.3,58.3,,58.3,,60,,61.7,,65.7,,,,66.6,
3 -  46/1,CARLING AVENUE/O.Q.W......(EBL),417,45.385347,-75.738172,1959,2013,2003,1,Total=18 (1)=18;,18.6,11/29/2013,67.3,67.3,,67.3,,68.8,,69.8,,69.3,,,,73.6,
3 -  46/2,CARLING AVENUE/O.Q.W......(WBL),417,45.385364,-75.738364,1960,2013,2003,1,Total=18 (1)=18;,18.6,11/29/2013,65.4,65.4,,65.4,,68.8,,69.6,,69.8,,,,73.8,
3 -  47/1,MERIVALE ROAD OVERPASS    (EBL),417,45.388925,-75.734656,1960,1983,,1,Total=14 (1)=14;,16,06/08/2013,63.3,63.3,,63.4,,62,,64.7,,70.4,,,,74.9,
3 -  47/2,MERIVALE ROAD OVERPASS    (WBL),417,45.388997,-75.734808,1961,2007,,1,Total=14 (1)=14;,16,06/08/2013,69.6,69.6,,68.6,,68.4,,70.5,,72,,,,75,
3 -  48/1,ISLAND PARK DRIVE OPASS   (EBL),417,45.390136,-75.7337,1961,2007,,1,Total=25 (1)=25;,24.7,06/08/2013,87.3,87.3,,85.4,,92,,63.8,,63.8,,,,61.6,
3 -  48/2,ISLAND PARK DRIVE OPASS   (WBL),417,45.390044,-75.733992,1961,1984,,1,Total=25 (1)=25;,24.7,06/08/2013,88,88,,89.9,,96.2,,64.8,,64.8,,,,70.1,
3 -  50/1,HOLLAND AVENUE/O.Q.W......(EBL),417,45.395494,-75.7294,1961,1984,,1,Total=22 (1)=22;,25,06/08/2013,65.3,65.3,,65.3,,67.4,,68.3,,69.4,,,,72.9,
3 -  50/2,HOLLAND AVENUE/O.Q.W......(WBL),417,45.395647,-75.729492,1961,1984,,1,Total=22 (1)=22;,25,06/08/2013,59,59,,59.1,,59.1,,69.8,,70.4,,,,72.8,
3 -  51/1,PARKDALE AVENUE/O.Q.W.....(EBL),417,45.397172,-75.726942,1961,1984,,1,Total=13 (1)=13;,21.3,06/08/2013,66.9,66.9,,69.1,,70,,70.1,,70.6,,,,73.7,
3 -  51/2,PARKDALE AVENUE/O.Q.W.....(WBL),417,45.397308,-75.727022,1961,1984,,1,Total=13 (1)=13;,21.3,06/08/2013,67.7,67.7,,68.1,,69.4,,70.6,,69.8,,,,74,
3 -  52/1,FAIRMONT AVENUE/O.Q.W.....(EBL),417,45.399977,-75.720706,1961,1984,,1,Total=18 (1)=18;,21,06/08/2013,62.8,62.8,,64.9,,66,,71.5,,72.2,,,,73.8,
3 -  52/2,FAIRMONT AVENUE/O.Q.W.....(WBL),417,45.400112,-75.720809,1961,1984,,1,Total=18 (1)=18;,21,06/08/2013,68.7,68.7,,69.5,,71.2,,71.3,,71.8,,,,74.3,
3 -  53/1,BAYSWATER AVENUE/O.Q.W....(EBL),417,45.401183,-75.717373,1961,1984,,1,Total=18 (1)=18;,20.9,06/08/2013,63.6,63.6,,65.2,,65.5,,69.5,,69.1,,,,73.9,
3 -  53/2,BAYSWATER AVENUE/O.Q.W....(WBL),417,45.401313,-75.717449,1962,1984,2010,1,Total=18 (1)=18;,20.9,06/08/2013,67.4,67.4,,67.6,,68.2,,70.6,,71,,,,74.1,
3 -  54/1,CPR OVERHEAD/O.Q.W........(EBL),417,45.402475,-75.712694,1962,1984,2010,5,Total=84 (1)=18;(2)=18;(3)=18;(4)=18;(5)=12;,86.8,06/08/2013,67.4,67.4,,68,,68.7,,71.5,,70.7,,,,68.8,
3 -  54/2,CPR OVERHEAD/O.Q.W........(WBL),417,45.402603,-75.712811,1962,1984,,5,Total=84 (1)=18;(2)=18;(3)=18;(4)=18;(5)=12;,86.8,06/08/2013,65.9,65.9,,66.7,,69.2,,71.2,,70.8,,,,65.9,
3 -  55/1,PRESTON STREET/O.Q.W......(EBL),417,45.402864,-75.710891,1962,1984,,1,Total=13 (1)=13;,21.5,06/08/2013,66.8,66.8,,68.2,,69.5,,70.2,,70.7,,,,74.2,
3 -  55/2,PRESTON STREET/O.Q.W......(WBL),417,45.402999,-75.710969,1962,1984,,1,Total=13 (1)=13;,21.5,06/08/2013,65.5,65.5,,68.1,,68,,68.6,,71.6,,,,74.5,
3 -  56/1,ROCHESTER STREET/O.Q.W....(EBL),417,45.40333,-75.708545,1962,1984,,1,Total=19 (1)=19;,21.2,06/08/2013,65.7,65.7,,67.2,,68.7,,69.8,,70.9,,,,81.1,
3 -  56/2,ROCHESTER STREET/O.Q.W....(WBL),417,45.403455,-75.708622,1962,1984,,1,Total=19 (1)=19;,21.2,06/08/2013,65.5,65.5,,68.2,,68.4,,69.4,,72,,,,81.4,
